strike,expiration,bid,ask,expiration_type,option_type,mid
2120,2/21/2020,0,0.15,standard,CALL,0.075
2125,2/21/2020,0.05,0.15,standard,CALL,0.1
2150,2/21/2020,0,0.1,standard,CALL,0.05
2175,2/21/2020,0,0.05,standard,CALL,0.025
2200,2/21/2020,0,0.05,standard,CALL,0.025
2225,2/21/2020,0.05,0.1,standard,CALL,0.075
2250,2/21/2020,0,0.05,standard,CALL,0.025
1225,2/28/2020,735.9,738.8,weekly,CALL,737.35
1250,2/28/2020,710.8,713.8,weekly,CALL,712.3
1275,2/28/2020,686,688.7,weekly,CALL,687.35
1300,2/28/2020,660.9,663.8,weekly,CALL,662.35
1325,2/28/2020,635.9,638.6,weekly,CALL,637.25
1350,2/28/2020,610.9,613.6,weekly,CALL,612.25
1375,2/28/2020,585.9,588.7,weekly,CALL,587.3
1400,2/28/2020,561,563.7,weekly,CALL,562.35
1425,2/28/2020,536,538.8,weekly,CALL,537.4
1450,2/28/2020,511.1,513.8,weekly,CALL,512.45
1475,2/28/2020,486.1,488.9,weekly,CALL,487.5
1500,2/28/2020,461.2,464,weekly,CALL,462.6
1510,2/28/2020,451.3,454,weekly,CALL,452.65
1520,2/28/2020,441.3,444,weekly,CALL,442.65
1525,2/28/2020,436.3,439.1,weekly,CALL,437.7
1530,2/28/2020,431.3,434.1,weekly,CALL,432.7
1540,2/28/2020,421.4,424.1,weekly,CALL,422.75
1550,2/28/2020,411.4,414.2,weekly,CALL,412.8
1555,2/28/2020,406.4,409.2,weekly,CALL,407.8
1560,2/28/2020,401.4,404.2,weekly,CALL,402.8
1565,2/28/2020,396.5,399.2,weekly,CALL,397.85
1570,2/28/2020,391.2,394,weekly,CALL,392.6
1575,2/28/2020,386.5,389.3,weekly,CALL,387.9
1580,2/28/2020,381.5,384.3,weekly,CALL,382.9
1585,2/28/2020,376.6,379.3,weekly,CALL,377.95
1590,2/28/2020,371.3,374.1,weekly,CALL,372.7
1595,2/28/2020,366.6,369.4,weekly,CALL,368
1600,2/28/2020,361.6,364.4,weekly,CALL,363
1605,2/28/2020,356.7,359.4,weekly,CALL,358.05
1610,2/28/2020,351.7,354.5,weekly,CALL,353.1
1615,2/28/2020,346.7,349.5,weekly,CALL,348.1
1620,2/28/2020,341.8,344.5,weekly,CALL,343.15
1625,2/28/2020,336.8,339.5,weekly,CALL,338.15
1630,2/28/2020,331.8,334.6,weekly,CALL,333.2
1635,2/28/2020,326.9,329.6,weekly,CALL,328.25
1640,2/28/2020,321.9,324.7,weekly,CALL,323.3
1645,2/28/2020,316.9,319.7,weekly,CALL,318.3
1650,2/28/2020,312,314.7,weekly,CALL,313.35
1655,2/28/2020,307,309.8,weekly,CALL,308.4
1660,2/28/2020,302.1,304.8,weekly,CALL,303.45
1665,2/28/2020,297.1,299.9,weekly,CALL,298.5
1670,2/28/2020,292.2,294.9,weekly,CALL,293.55
1675,2/28/2020,287.2,289.9,weekly,CALL,288.55
1680,2/28/2020,282.3,285,weekly,CALL,283.65
1685,2/28/2020,277.3,280.1,weekly,CALL,278.7
1690,2/28/2020,272.4,275.1,weekly,CALL,273.75
1695,2/28/2020,267.4,270.2,weekly,CALL,268.8
1700,2/28/2020,262.5,265.2,weekly,CALL,263.85
1705,2/28/2020,257.5,260.3,weekly,CALL,258.9
1710,2/28/2020,252.6,255.3,weekly,CALL,253.95
1715,2/28/2020,247.7,250.4,weekly,CALL,249.05
1720,2/28/2020,242.7,245.5,weekly,CALL,244.1
1725,2/28/2020,237.8,240.6,weekly,CALL,239.2
1730,2/28/2020,232.9,235.6,weekly,CALL,234.25
1735,2/28/2020,228,230.7,weekly,CALL,229.35
1740,2/28/2020,223.4,225.3,weekly,CALL,224.35
1745,2/28/2020,218.5,220.4,weekly,CALL,219.45
1750,2/28/2020,213.6,215.5,weekly,CALL,214.55
1755,2/28/2020,208.7,210.6,weekly,CALL,209.65
1760,2/28/2020,203.8,205.7,weekly,CALL,204.75
1765,2/28/2020,198.9,200.8,weekly,CALL,199.85
1770,2/28/2020,194,195.9,weekly,CALL,194.95
1775,2/28/2020,189.2,191.1,weekly,CALL,190.15
1780,2/28/2020,184.3,185.8,weekly,CALL,185.05
1785,2/28/2020,179.4,180.9,weekly,CALL,180.15
1790,2/28/2020,174.6,176.1,weekly,CALL,175.35
1795,2/28/2020,169.7,171.2,weekly,CALL,170.45
1800,2/28/2020,164.9,166.4,weekly,CALL,165.65
1805,2/28/2020,160.1,161.6,weekly,CALL,160.85
1810,2/28/2020,155.3,156.7,weekly,CALL,156
1815,2/28/2020,150.5,152,weekly,CALL,151.25
1820,2/28/2020,145.7,147.2,weekly,CALL,146.45
1825,2/28/2020,140.9,142.4,weekly,CALL,141.65
1830,2/28/2020,136.2,137.7,weekly,CALL,136.95
1835,2/28/2020,131.5,132.9,weekly,CALL,132.2
1840,2/28/2020,126.8,128.2,weekly,CALL,127.5
1845,2/28/2020,122.1,123.5,weekly,CALL,122.8
1850,2/28/2020,117.4,118.8,weekly,CALL,118.1
1855,2/28/2020,112.8,114.2,weekly,CALL,113.5
1860,2/28/2020,108.2,109.6,weekly,CALL,108.9
1865,2/28/2020,103.6,105,weekly,CALL,104.3
1870,2/28/2020,99,100.4,weekly,CALL,99.7
1875,2/28/2020,94.5,95.9,weekly,CALL,95.2
1880,2/28/2020,90,91.4,weekly,CALL,90.7
1885,2/28/2020,85.5,86.9,weekly,CALL,86.2
1890,2/28/2020,81.1,82.5,weekly,CALL,81.8
1895,2/28/2020,76.8,78.1,weekly,CALL,77.45
1900,2/28/2020,72.4,73.7,weekly,CALL,73.05
1905,2/28/2020,68.2,69.4,weekly,CALL,68.8
1910,2/28/2020,64,65.2,weekly,CALL,64.6
1915,2/28/2020,59.8,61.1,weekly,CALL,60.45
1920,2/28/2020,55.7,57,weekly,CALL,56.35
1925,2/28/2020,51.7,53,weekly,CALL,52.35
1930,2/28/2020,47.8,49.1,weekly,CALL,48.45
1935,2/28/2020,44.6,45.1,weekly,CALL,44.85
1940,2/28/2020,40.8,41.3,weekly,CALL,41.05
1945,2/28/2020,37.2,37.7,weekly,CALL,37.45
1950,2/28/2020,33.7,34.4,weekly,CALL,34.05
1955,2/28/2020,30.3,30.9,weekly,CALL,30.6
1960,2/28/2020,27,27.6,weekly,CALL,27.3
1965,2/28/2020,23.8,24.5,weekly,CALL,24.15
1970,2/28/2020,20.8,21.4,weekly,CALL,21.1
1975,2/28/2020,18,18.6,weekly,CALL,18.3
1980,2/28/2020,15.5,15.9,weekly,CALL,15.7
1985,2/28/2020,13.1,13.5,weekly,CALL,13.3
1990,2/28/2020,10.9,11.3,weekly,CALL,11.1
1995,2/28/2020,9,9.3,weekly,CALL,9.15
2000,2/28/2020,7.2,7.6,weekly,CALL,7.4
2005,2/28/2020,5.7,6,weekly,CALL,5.85
2010,2/28/2020,4.5,4.8,weekly,CALL,4.65
2015,2/28/2020,3.4,3.7,weekly,CALL,3.55
2020,2/28/2020,2.6,2.8,weekly,CALL,2.7
2025,2/28/2020,1.95,2.15,weekly,CALL,2.05
2030,2/28/2020,1.45,1.65,weekly,CALL,1.55
2035,2/28/2020,1.05,1.25,weekly,CALL,1.15
2040,2/28/2020,0.8,0.95,weekly,CALL,0.875
2045,2/28/2020,0.6,0.75,weekly,CALL,0.675
2050,2/28/2020,0.5,0.65,weekly,CALL,0.575
2060,2/28/2020,0.3,0.4,weekly,CALL,0.35
2070,2/28/2020,0.2,0.3,weekly,CALL,0.25
2075,2/28/2020,0.15,0.25,weekly,CALL,0.2
2100,2/28/2020,0.1,0.2,weekly,CALL,0.15
2125,2/28/2020,0.05,0.15,weekly,CALL,0.1
2150,2/28/2020,0.05,0.15,weekly,CALL,0.1
2175,2/28/2020,0,0.1,weekly,CALL,0.05
2200,2/28/2020,0.05,0.1,weekly,CALL,0.075
2225,2/28/2020,0,0.1,weekly,CALL,0.05
2250,2/28/2020,0,0.1,weekly,CALL,0.05
800,2/21/2020,0,0.1,standard,PUT,0.05
900,2/21/2020,0,0.1,standard,PUT,0.05
1000,2/21/2020,0,0.1,standard,PUT,0.05
1050,2/21/2020,0,0.1,standard,PUT,0.05
1100,2/21/2020,0,0.05,standard,PUT,0.025
1125,2/21/2020,0,0.05,standard,PUT,0.025
1150,2/21/2020,0,0.05,standard,PUT,0.025
1175,2/21/2020,0,0.05,standard,PUT,0.025
1200,2/21/2020,0,0.05,standard,PUT,0.025
1220,2/21/2020,0,0.1,standard,PUT,0.05
1225,2/21/2020,0,0.05,standard,PUT,0.025
1240,2/21/2020,0,0.1,standard,PUT,0.05
1250,2/21/2020,0,0.05,standard,PUT,0.025
1260,2/21/2020,0,0.1,standard,PUT,0.05
1270,2/21/2020,0,0.1,standard,PUT,0.05
