expiration,strike,option_type,mid_price,delta_k,strike_cont,settlement
1/24/2020,2010,Call,4.65,5,0.000005755000000,weekly
1/24/2020,2015,Call,3.55,5,0.000004371800000,weekly
1/24/2020,2020,Call,2.7,5,0.000003308600000,weekly
1/24/2020,2025,Call,2.05,5,0.000002499700000,weekly
1/24/2020,2030,Call,1.55,5,0.000001880700000,weekly
1/24/2020,2035,Call,1.15,5,0.000001388500000,weekly
1/24/2020,2040,Call,0.875,5,0.000001051300000,weekly
1/24/2020,2045,Call,0.675,5,0.000000807000000,weekly
1/24/2020,2050,Call,0.575,7.5,0.000001026200000,weekly
1/24/2020,2060,Call,0.35,10,0.000000824800000,weekly
1/24/2020,2070,Call,0.25,7.5,0.000000437600000,weekly
1/24/2020,2075,Call,0.2,15,0.000000696800000,weekly
1/24/2020,2100,Call,0.15,25,0.000000850400000,weekly
1/24/2020,2125,Call,0.1,25,0.000000553600000,weekly
1/24/2020,2150,Call,0.1,37.5,0.000000811300000,weekly
1/24/2020,2200,Call,0.075,50,0.000000774800000,weekly
